,T0,T1,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T23,T25,T26,T28,T29,T30,T31,T33,T34,T35,T36,T37,T38,T39,T40,T43,T46,T47,T48,T50,T53,T55,T56,T57,T58,T59,T61,T64,T66,T67,T68,T69,T71,T73,T76,T77,T79,T80,T81,T83,T84,T85,T87,T89,T90,T92,T93,T94,T95,T96,T98,T99,T100
2016-01-01,61.8722,31.9443,129.673,55.1444,53.0653,64.6807,33.5509,99.137,36.9048,54.4197,82.672,167.3205,33.795,110.172,92.4149,83.4593,97.648,39.698,115.99,14.296,22.9282,63.8559,16.296,46.946,52.3926,21.2823,27.6838,49.4033,8.045,41.7428,50.5948,33.2795,35.5661,154.77,38.8749,1274.95,138.801,65.7845,104.655,279.209,33.8912,132.04,55.0747,93.94,88.3859,129.284,23.989,23.9628,55.5041,140.783,67.8138,58.6152,66.9245,51.6312,38.4087,133.9522,76.811,9.5022,21.513,115.429,39.5669,51.6503,33.3139,25.8447,72.1013,66.1308,130.834,75.657,63.8591,79.4765,176.88,62.3747,57.4619,43.3701
2016-01-04,60.1285,31.7024,126.005,55.1687,51.4715,63.8826,33.1136,97.1557,37.055,54.0776,82.459,164.9571,31.85,109.189,91.2935,81.6393,97.185,39.4425,113.049,13.9562,22.6938,63.0196,16.2676,46.702,52.5294,20.8597,27.3142,48.7978,7.901,41.2427,49.3375,33.4502,35.0651,152.116,37.1609,1245.37,135.767,66.4323,103.605,273.125,32.8634,130.75,53.6657,91.97,87.7558,126.106,24.009,23.7324,53.9128,139.074,66.9377,59.3741,66.7578,51.4865,37.9831,128.9533,74.3971,9.4213,21.4468,114.345,39.6737,50.1274,32.3848,25.5766,70.9118,65.4698,129.421,74.564,62.9044,78.4116,173.671,61.1303,56.5609,42.2133
2016-01-05,59.2034,32.1378,126.516,54.5926,51.5605,64.429,33.2307,95.1934,37.466,54.5384,84.088,165.1183,31.69,108.656,91.2263,81.9806,98.524,39.946,113.542,13.9562,22.8572,63.2206,16.3812,46.775,53.7772,20.765,27.1856,49.0204,8.0279,41.0249,49.5089,33.685,35.7738,149.497,37.1523,1210.69,135.532,65.7929,103.801,273.83,32.7401,131.25,54.7225,92.34,87.4537,125.971,23.407,23.7367,54.1544,139.414,67.0618,60.4154,67.1439,51.8554,37.7342,130.0502,75.346,9.2527,21.6559,114.824,38.898,50.4629,32.5409,25.4141,71.9729,65.6089,131.998,75.303,63.087,78.6393,177.785,60.0242,57.3516,42.1973
2016-01-06,57.5593,31.8475,124.508,53.7325,50.8162,61.8838,33.0511,94.6839,35.8456,54.0846,83.789,162.4862,31.633,107.531,90.7697,81.5662,97.863,39.3974,111.255,13.6589,22.4523,62.6095,16.3572,45.505,54.3157,20.5438,26.5829,48.13,7.696,40.428,48.7823,33.6921,36.1526,145.848,36.8407,1196.71,134.495,62.9496,102.743,270.714,31.9179,131.33,53.7617,91.02,86.5733,124.816,22.949,23.5533,53.4379,138.124,66.2805,59.8019,66.3893,51.9711,37.3006,126.5618,76.1354,8.8413,21.5855,113.665,38.5022,50.0155,32.0491,24.7804,71.5194,64.3044,131.675,74.234,63.2614,77.68,177.271,59.2378,56.5333,41.3915
2016-01-07,57.0411,31.6726,119.288,51.8824,48.7612,59.6908,32.5044,93.8726,34.826,53.2189,81.7,155.6108,30.397,104.465,89.2185,80.6156,95.598,39.0516,108.544,13.1662,22.3032,62.0627,16.0931,44.909,55.5806,20.0699,25.5865,46.4559,7.3909,38.363,47.6148,33.4076,35.5233,141.365,35.9577,1167.19,131.423,61.4774,99.718,258.882,31.1121,129.48,52.2726,89.11,84.4068,121.837,21.981,23.2931,52.4965,134.96,64.5794,59.6404,65.8014,51.4938,35.823,121.0056,73.0611,8.5648,21.6807,109.917,36.5233,48.7765,31.4401,23.5454,69.6625,62.6781,128.896,72.803,61.7753,76.5582,173.736,56.2392,55.0255,40.2107
2016-01-08,56.8535,31.3647,116.58,51.355,47.669,59.0509,32.4185,93.6367,34.2174,52.1438,80.353,152.8176,30.353,103.216,88.3925,79.7544,95.449,38.3903,108.175,12.9114,22.0191,61.0897,16.1075,44.176,54.3071,19.5723,25.3213,46.5984,7.2322,37.2096,46.9045,33.1586,35.5844,140.781,35.2046,1136.96,131.276,62.1336,98.001,252.364,30.5448,128.33,50.9435,87.85,84.4586,120.025,22.097,23.3165,52.1132,132.597,64.6159,57.6223,64.7221,51.378,35.4135,121.1135,73.213,8.4569,21.7781,109.404,36.3135,48.7249,30.9951,23.058,69.5256,61.6432,125.222,71.851,61.2523,76.0543,173.427,55.5046,54.1245,39.5405
2016-01-11,57.2287,31.5466,116.777,49.8782,47.5962,58.0731,32.4732,94.2688,32.5021,51.4456,80.566,153.5159,30.887,104.782,89.467,79.275,96.45,38.518,108.152,13.0049,22.0688,61.6526,16.3044,44.225,54.8883,19.9593,25.7632,46.5716,7.2444,37.7903,47.1004,33.3151,36.3298,142.318,35.2566,1136.28,131.98,62.9327,97.485,252.806,30.7668,128.36,50.4231,89.38,84.9679,117.624,22.455,23.34,52.3299,134.873,64.5794,58.4618,65.0643,51.9494,35.1725,119.5491,73.2509,8.612,21.863,110.329,36.4679,49.7488,31.12,23.1229,68.687,63.2086,125.632,72.064,60.6047,77.1598,175.414,55.9626,54.7497,39.9634
2016-01-12,57.5415,31.4347,118.31,49.9837,47.7014,59.0653,32.8949,95.7217,31.8145,52.4998,80.566,153.8382,30.895,106.207,89.2454,79.8194,97.069,38.9013,108.46,13.0049,22.0191,61.5239,16.2804,44.225,54.3755,20.0225,26.2615,46.9991,7.3664,37.8145,47.3209,33.0377,36.2809,142.301,35.8885,1148.92,134.025,64.1609,99.869,257.127,31.0135,128.8,50.7914,89.82,86.2194,120.093,22.781,23.404,52.8047,136.036,64.6524,59.2207,65.3889,51.5444,35.5098,121.1135,73.7064,8.6659,21.8216,111.337,36.8241,51.1599,31.7134,23.1229,68.7983,63.7217,124.845,73.117,63.4606,77.7857,177.54,56.8614,55.1083,40.9766
2016-01-13,56.1565,30.889,114.902,49.4076,46.3907,58.4757,32.684,92.9103,30.8265,52.814,78.579,151.6896,29.091,101.133,88.0836,78.8281,95.152,38.0746,106.812,12.6566,21.5716,60.9932,16.2035,43.408,52.9225,19.4301,25.6427,45.9839,7.1419,36.4513,46.2676,33.2867,35.3033,136.53,35.0871,1098.9,130.894,62.1252,97.174,249.764,29.9775,126.25,49.0621,88.3,84.5967,115.848,22.195,22.841,52.4132,132.606,63.1702,57.8322,64.2482,51.8554,34.7389,117.1396,70.245,8.2276,21.6642,109.014,36.4916,49.7918,30.4564,21.8474,67.857,60.7909,123.991,71.238,61.9746,76.5013,174.64,54.9948,54.0418,39.6761
2016-01-14,56.5497,31.3927,115.871,50.5274,47.0865,61.4524,32.7075,93.5046,32.6049,55.2365,78.63,156.0942,29.65,99.65,89.2521,80.3475,96.392,38.9314,108.706,12.733,22.0972,61.2344,16.4725,43.496,53.8969,19.4775,26.3097,47.2929,6.9979,36.6046,46.782,33.5285,35.5722,138.591,35.8014,1121.38,132.871,63.4459,98.535,254.184,30.479,128.07,50.8475,89.8,86.1331,121.981,22.68,23.4808,52.9297,133.53,63.747,56.8393,64.5817,52.3399,35.1966,118.4073,70.6093,8.2208,21.8857,109.006,37.7819,50.7469,31.1747,22.0586,70.6294,60.7996,124.926,71.663,62.0908,77.6394,176.286,55.8244,53.7935,40.4022
2016-01-15,56.2101,31.0849,112.669,49.1881,46.148,60.1582,32.4107,88.5893,31.111,54.1614,75.373,153.0325,28.509,99.325,87.3181,78.8119,95.201,38.4354,106.789,12.2828,21.8841,60.2936,16.3236,41.845,52.9311,18.6561,23.915,45.4051,6.6171,34.2573,45.7941,33.5498,34.949,133.628,35.3136,1086.74,129.906,62.3439,97.209,243.18,29.4184,126.14,50.263,89.17,84.0616,120.499,22.136,22.986,52.7798,131.098,62.1992,56.5729,64.1605,52.1302,34.6024,114.1097,69.7136,8.0725,21.7967,106.429,36.27,49.9037,30.4876,21.0999,69.517,60.2408,123.923,70.79,61.3685,76.3306,175.936,54.3121,52.9201,38.9501
2016-01-18,56.2101,31.0849,112.669,49.1881,46.148,60.1582,32.4107,88.5893,31.111,54.1614,75.373,153.0325,28.509,99.325,87.3181,78.8119,95.201,38.4354,106.789,12.2828,21.8841,60.2936,16.3236,41.845,52.9311,18.6561,23.915,45.4051,6.6171,34.2573,45.7941,33.5498,34.949,133.628,35.3136,1086.74,129.906,62.3439,97.209,243.18,29.4184,126.14,50.263,89.17,84.0616,120.499,22.136,22.986,52.7798,131.098,62.1992,56.5729,64.1605,52.1302,34.6024,114.1097,69.7136,8.0725,21.7967,106.429,36.27,49.9037,30.4876,21.0999,69.517,60.2408,123.923,70.79,61.3685,76.3306,175.936,54.3121,52.9201,38.9501
2016-01-19,55.9689,31.3927,113.055,48.498,46.1237,58.6052,32.7387,88.6553,28.7714,53.3376,77.522,153.0325,28.724,99.767,86.0288,79.2181,97.119,38.5857,106.558,12.096,21.7989,61.7008,16.5733,41.654,53.4696,18.8377,23.9471,45.0222,6.6708,33.8298,45.8513,34.0975,35.6822,134.667,35.2177,1094.5,132.01,62.3355,100.154,241.065,29.5417,127.76,50.6073,89.18,84.7435,120.499,22.029,23.1395,53.5629,131.168,62.5058,55.8948,63.5814,52.9113,34.6426,114.3615,68.241,8.059,22.3247,107.603,36.4837,50.3769,30.5501,21.3355,71.2199,60.6511,125.424,71.034,61.9165,77.2736,175.365,53.7418,53.6188,38.4634
2016-01-20,56.3174,31.0779,109.539,48.3173,44.9102,56.7861,32.317,87.3062,27.4672,51.0896,75.893,150.4005,28.589,97.018,81.8317,77.7962,95.697,37.9919,105.457,11.6288,21.7776,61.5085,16.2804,41.454,51.9995,18.0874,23.7784,45.227,6.7074,32.6602,44.945,33.5427,34.9612,132.031,34.8083,1081.33,130.19,61.9233,102.12,239.425,29.1635,124.83,50.8795,87.94,84.4327,123.462,22.058,22.8666,52.0299,129.729,62.0604,54.5628,63.1777,51.6529,34.241,110.7472,68.7344,8.0253,21.8071,104.9,36.357,48.9744,30.3471,20.5068,70.6979,59.4374,121.548,69.736,61.9082,76.8531,171.382,52.506,54.2808,38.1922
2016-01-21,55.9689,32.0923,110.669,49.0403,44.6998,58.2744,32.3248,88.7025,29.1745,51.7319,76.763,153.5696,28.751,100.15,82.5368,77.9506,97.4,38.27,106.073,11.3485,21.7207,62.2304,16.5877,41.815,52.8884,18.0874,23.8346,44.951,6.7855,32.3859,45.1573,33.2938,35.1017,130.227,34.3902,1089.14,128.849,59.7276,100.972,237.703,28.2098,125.62,50.5432,88.0,84.5536,121.678,21.947,23.1694,53.3544,131.089,61.6443,55.4104,64.0815,51.4142,34.4819,111.0979,67.4592,8.0995,21.7512,105.018,37.2436,50.7899,30.0738,20.1331,69.654,60.5289,122.934,70.027,61.9331,77.147,171.7,52.869,55.6783,38.3039
2016-01-22,49.1962,32.9109,111.755,50.1001,46.0752,60.0647,32.848,91.4196,29.7752,53.4563,79.517,151.6896,29.819,102.266,82.2615,78.6087,97.863,38.5932,107.428,11.5183,21.8131,62.7495,16.8759,42.197,53.5807,18.4586,24.0476,46.5627,6.9442,33.12,46.0064,33.6778,35.6088,134.701,34.8693,1118.11,132.401,58.878,101.711,246.444,28.9004,127.04,51.56,89.63,84.6658,124.306,23.113,23.6002,54.1591,133.975,62.316,56.2822,65.4679,52.2025,34.6666,114.6851,69.706,8.1871,22.0742,106.75,38.051,50.9103,30.7374,20.8074,70.5781,61.5593,126.043,70.68,63.0289,78.0942,172.718,52.7998,55.9725,39.1097
2016-01-25,49.1604,32.9039,111.216,47.5778,45.0315,58.1594,32.9261,89.9007,27.0324,51.6481,77.701,150.6153,29.827,101.391,81.9795,78.3244,98.524,38.27,105.927,11.0087,21.6639,62.3358,16.8087,41.488,54.2302,18.3007,23.7864,46.1175,6.9369,31.902,45.1981,33.7063,35.6822,129.772,34.547,1097.93,131.834,57.8685,100.865,237.555,28.5057,124.13,50.3751,86.77,82.974,122.196,22.662,23.1225,53.5891,131.438,61.6078,55.6364,62.9847,51.9277,33.96,113.3186,68.78,8.0792,22.0369,105.255,37.6631,49.6541,29.8943,20.2955,69.9192,61.0353,124.583,70.303,62.8463,76.8123,171.879,50.6913,55.807,38.0246
2016-01-26,49.223,33.7575,114.804,48.6048,46.1804,60.4817,32.8636,90.8252,27.9414,53.547,78.852,152.0656,30.063,101.8,82.322,82.2081,99.541,38.6683,111.478,11.306,21.7847,63.9256,17.0008,41.855,54.7003,18.7351,24.0596,46.4559,7.0052,32.6683,45.6471,33.8414,36.0243,132.632,34.9825,1111.54,131.217,58.92,101.381,245.378,29.2375,125.89,50.191,86.89,84.7089,122.474,22.788,23.3912,53.9244,129.45,61.8268,56.8635,64.5553,52.2315,34.6104,114.4334,69.9945,8.268,22.0659,107.603,38.4072,50.4285,30.4642,20.7099,70.1331,61.1227,127.94,71.49,62.755,76.7878,170.999,52.1776,56.1839,38.5033
2016-01-27,48.7137,34.3032,104.553,47.9147,46.148,59.885,32.8715,88.9855,28.6212,52.5627,78.886,150.4005,29.168,101.275,81.2274,83.0043,99.904,37.8566,112.071,11.3485,21.6781,63.9175,17.0392,41.933,54.6576,18.506,23.9552,45.6099,6.9222,32.7167,44.5286,33.8841,36.0243,132.005,35.2526,1043.7,132.91,58.0956,99.931,247.723,29.1306,125.19,49.4063,84.85,84.6744,119.838,21.29,23.0841,53.8992,128.779,61.5128,57.0653,64.608,52.3689,34.8353,115.3055,68.0361,8.2611,22.1011,108.972,37.6236,49.5853,30.5891,20.7344,69.962,60.7297,125.182,71.443,62.6719,77.0327,169.313,54.701,54.7773,38.7507
2016-01-28,47.2483,34.2892,105.835,50.1823,46.3422,61.7759,33.2463,88.2402,30.0518,53.7495,78.886,151.5285,31.768,101.866,82.0735,83.0937,101.153,36.9773,113.434,11.4929,21.4508,64.7449,17.0632,42.245,54.8883,18.2493,24.0837,46.3535,6.8466,32.6198,44.6674,34.3393,36.4337,134.873,31.9773,1043.13,125.415,59.021,99.086,245.304,29.0813,126.01,48.966,84.52,84.7607,118.15,21.443,23.0798,54.5028,130.401,61.6735,57.3075,65.6434,53.1355,35.815,115.2785,66.442,8.1635,22.4262,108.676,34.5048,51.0093,30.6203,20.571,65.7263,60.4503,125.686,71.545,61.3602,76.3387,168.336,54.4331,56.2667,39.0299
2016-01-29,47.8023,34.9609,107.737,51.1353,48.1383,62.1714,33.5197,90.4007,30.8897,54.3499,80.447,156.3091,29.35,104.765,83.7993,84.8568,102.31,38.0821,116.267,12.011,21.6568,66.2617,17.3177,42.851,56.7174,18.7904,24.9275,49.0561,7.1492,34.3884,46.1125,34.7945,37.338,138.737,32.9704,1064.97,129.221,60.5689,102.449,257.677,29.924,129.77,49.7666,89.13,86.3144,121.638,22.184,23.7623,56.6068,131.734,63.2651,58.4618,67.5738,54.459,36.9231,119.4682,63.0034,8.3238,23.1323,113.001,35.89,52.287,31.2762,21.1512,67.6858,62.5721,125.343,73.274,63.0289,78.8699,171.871,56.7058,57.0114,40.0751
2016-02-01,48.8745,35.5136,109.019,51.5132,47.6205,61.323,33.5822,89.7686,30.5103,53.2608,79.389,153.8382,28.74,105.39,83.8262,84.7999,102.996,38.1422,114.52,11.8581,21.4295,65.7994,17.3753,42.788,57.6917,18.5455,24.7668,48.7177,7.1517,34.3077,45.9574,35.4915,37.2341,137.097,33.493,1084.87,127.88,61.4858,103.098,256.029,29.3291,128.66,48.6938,89.61,86.7719,121.654,21.976,23.8049,55.4919,131.848,62.7613,58.7928,67.3896,55.6885,36.5377,118.9557,63.8004,8.4145,23.3953,112.874,36.4995,52.829,31.0732,21.0123,67.0869,63.4453,126.453,73.966,63.801,79.466,170.893,56.1787,58.0687,39.8437
